,company_id,2014-01-01_payments,2014-02-01_payments,2014-03-01_payments,2014-04-01_payments,2014-05-01_payments,2014-06-01_payments,2014-07-01_payments,2014-08-01_payments,2014-09-01_payments,2014-10-01_payments,2014-11-01_payments,2014-12-01_payments,2014-01-01_mandates,2014-02-01_mandates,2014-03-01_mandates,2014-04-01_mandates,2014-05-01_mandates,2014-06-01_mandates,2014-07-01_mandates,2014-08-01_mandates,2014-09-01_mandates,2014-10-01_mandates,2014-11-01_mandates,2014-12-01_mandates,vertical,incorporation_date
754,838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2012-08-21
755,839,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,accountancy,2013-06-24
756,840,24.0,40.0,44.0,44.0,38.0,39.0,33.0,32.0,24.0,23.0,19.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gym/fitness,2004-10-13
757,841,26.0,17.0,29.0,42.0,47.0,47.0,8.0,0.0,62.0,46.0,39.0,24.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,gym/fitness,2004-12-25
758,842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,accountancy,2012-03-20
759,843,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy,2013-12-04
760,844,0.0,0.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,2.0,3.0,4.0,2.0,5.0,3.0,2.0,1.0,gym/fitness,2008-01-26
761,846,1.0,5.0,5.0,8.0,10.0,14.0,10.0,10.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,gym/fitness,2012-06-20
762,847,0.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gym/fitness,2003-06-02
763,848,14.0,14.0,32.0,46.0,66.0,75.0,94.0,103.0,114.0,130.0,131.0,146.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy,2012-03-15
